Time,rsr-7d759f6dc9-m99vb,rsr-7f589d447f-zzrf5,rsr-memcached-7fbb8d49f7-z6jwq
2025-08-30 14:30:00,4.137931034482759,,0
2025-08-30 15:00:00,4.137931034482759,,0
2025-08-30 15:30:00,5.172413793103448,,0
2025-08-30 16:00:00,4.137931034482759,,0
2025-08-30 16:30:00,5.172413793103448,,0
2025-08-30 17:00:00,4.137931034482759,,0
2025-08-30 17:30:00,4.137931034482759,,0
2025-08-30 18:00:00,4.137931034482759,,0
2025-08-30 18:30:00,5.172413793103448,,0
2025-08-30 19:00:00,4.137931034482759,,0
2025-08-30 19:30:00,5.172413793103448,,0
2025-08-30 20:00:00,4.137931034482759,,0
