217,"Boys completing their primary education","K6020","Children & Education"
218,"Boys completing their secondary education","K6020","Children & Education"
219,"Boys concluding a vocational training","K6020","Children & Education"
188,"Boys enrolled in primary education","K6020","Children & Education"
189,"Boys enrolled in secondary education","K6020","Children & Education"
190,"Boys per year receiving vocational training","K6020","Children & Education"
208,"Boys re-enrolled in primary education","K6020","Children & Education"
209,"Boys re-enrolled in secondary education","K6020","Children & Education"
293,"Children with lessons on respect, safety, reproductive health and child rights","K6020","Children & Education"
211,"Community Based Organizations (CBO) carrying out social audits","K6020","Children & Education"
288,"Community organizations active in education and care for children","K6020","Children & Education"
289,"Community organizations with strengthened management and social audit capacity","K6020","Children & Education"
290,"Families supported to provide adequate care for vulnerable children","K6020","Children & Education"
220,"Female primary school teachers trained","K6020","Children & Education"
221,"Female secondary school teachers trained","K6020","Children & Education"
214,"Girls completing their primary education","K6020","Children & Education"
215,"Girls completing their secondary education","K6020","Children & Education"
216,"Girls concluding a vocational training","K6020","Children & Education"
185,"Girls enrolled in primary education","K6020","Children & Education"
186,"Girls enrolled in secondary education","K6020","Children & Education"
187,"Girls receiving vocational training","K6020","Children & Education"
206,"Girls re-enrolled in primary education","K6020","Children & Education"
207,"Girls re-enrolled in secondary education","K6020","Children & Education"
287,"Lobby trajectory to incorporate lessons leaned from project results in to policy","K6020","Children & Education"
222,"Male primary school teachers trained","K6020","Children & Education"
223,"Male secondary school teachers trained","K6020","Children & Education"
210,"Schools with an active parent association","K6020","Children & Education"
213,"Schools with improved utilities and teaching material","K6020","Children & Education"
212,"Schools with performance contracts","K6020","Children & Education"
224,"Student / Teacher ratio primary education","K6020","Children & Education"
225,"Student / Teacher ratio secondary education","K6020","Children & Education"
292,"Teachers trained in teaching life skills","K6020","Children & Education"
291,"Vocational teachers trained","K6020","Children & Education"
203,"Vulnerable boys enrolled in primary education","K6020","Children & Education"
204,"Vulnerable boys enrolled in secondary education","K6020","Children & Education"
205,"Vulnerable boys receiving vocational training","K6020","Children & Education"
191,"Vulnerable girls enrolled in primary education","K6020","Children & Education"
201,"Vulnerable girls enrolled in secondary education","K6020","Children & Education"
202,"Vulnerable girls receiving vocational training","K6020","Children & Education"
294,"Vulnerable or exploited children getting care and protection","K6020","Children & Education"
277,"Boys completing their primary education","K6090","Domestic"
278,"Boys completing their secondary education","K6090","Domestic"
279,"Boys concluding a vocational training","K6090","Domestic"
259,"Boys enrolled in primary education","K6090","Domestic"
260,"Boys enrolled in seondary education","K6090","Domestic"
261,"Boys per year receiving vocational training","K6090","Domestic"
270,"Boys re-enrolled in primary education","K6090","Domestic"
271,"Boys re-enrolled in secondary education","K6090","Domestic"
254,"Community based peace and security initiatives led by women","K6090","Domestic"
244,"Community groups supported to engage in peacebuilding","K6090","Domestic"
199,"Cooperatives created and functional","K6090","Domestic"
229,"Cooperatives trained","K6090","Domestic"
265,"Disabled boys enrolled in primary edcuation","K6090","Domestic"
266,"Disabled boys enrolled in secondary education","K6090","Domestic"
267,"Disabled boys receiving vocational training","K6090","Domestic"
262,"Disabled girls enrolled in primary education","K6090","Domestic"
263,"Disabled girls enrolled in secondary education","K6090","Domestic"
264,"Disabled girls receiving vocational training","K6090","Domestic"
233,"Female microfinance clients provided with loan","K6090","Domestic"
274,"Girls completing their primary education","K6090","Domestic"
275,"Girls completing their secondary education","K6090","Domestic"
276,"Girls concluding a vocational training","K6090","Domestic"
256,"Girls enrolled in primary education","K6090","Domestic"
257,"Girls enrolled in secondary education","K6090","Domestic"
258,"Girls receiving vocational training","K6090","Domestic"
268,"Girls re-enrolled in primary education","K6090","Domestic"
269,"Girls re-enrolled in secondary education","K6090","Domestic"
236,"Health care institutes with increased quality services","K6090","Domestic"
238,"Health care institutions apply innovations and offer innovative services","K6090","Domestic"
237,"Healthcare staff members trained","K6090","Domestic"
247,"Households reached with new or improved sanitation facilities","K6090","Domestic"
312,"Lobby trajectories to influence policy of relevant actors","K6090","Domestic"
284,"Local organizations trained in emergency response ","K6090","Domestic"
232,"Microfinance clients provided with loan","K6090","Domestic"
194,"Number of boys per year receiving vocational training","K6090","Domestic"
195,"Number of girls per year receiving vocational training","K6090","Domestic"
193,"Number of vulnerable children receiving education per year","K6090","Domestic"
285,"Number of vulnerable children receiving education per year","K6090","Domestic"
235,"Organizations supported that promote better microfinance practices","K6090","Domestic"
242,"Organizations with increased organizational capacities","K6090","Domestic"
196,"People reached with preventieve activities in water","K6090","Domestic"
197,"People reached with preventive activiities in livelihood","K6090","Domestic"
283,"People reached with preventive activities in climate adaptation","K6090","Domestic"
281,"People reached with preventive activities in livelihood","K6090","Domestic"
198,"People reached with preventive activities in natural resource management","K6090","Domestic"
282,"People reached with preventive activities in natural resource management","K6090","Domestic"
280,"People reached with preventive activities in water","K6090","Domestic"
239,"People receiving improved quality care ","K6090","Domestic"
230,"People with an increased household income","K6090","Domestic"
241,"People with increased income through innovation","K6090","Domestic"
231,"Percent increase in income","K6090","Domestic"
200,"Percent of persons in the committee or cooperative is women","K6090","Domestic"
246,"Percent of representation of women in decision making bodies","K6090","Domestic"
234,"Rural microfinance clients provided with loan","K6090","Domestic"
272,"Schools with an active parent association","K6090","Domestic"
273,"Schools with improved utilities and teaching material","K6090","Domestic"
245,"Women and men having received legal advice","K6090","Domestic"
243,"Women and men trained on human rights and/or local laws ","K6090","Domestic"
253,"Women organizations and networks participating in decision making","K6090","Domestic"
240,"Women receiving reproductive healthcare ","K6090","Domestic"
255,"Women with strengthened leadership skills","K6090","Domestic"
251,"Women's organizations & networks with increased capacity in participation","K6090","Domestic"
252,"Women's organizations and networks with increased capacity in influencing policy","K6090","Domestic"
250,"Youngsters with increased capacity on entrepreneurship","K6090","Domestic"
249,"Youngsters with new jobs or own employment ","K6090","Domestic"
