id,name,full_name,type,created_at
1,Plieger,,C,2008-06-19
2,IDYDC,"Iringa Development of Youth, Disabled and Children Care ",N,2008-06-19
7,CBHCC,Community Based Health Care Council ,N,2008-06-30
8,Simavi,Simavi,N,2008-06-30
12,CUS,Calcutta Urban Service,N,2008-07-14
12,CUS,Calcutta Urban Service,N,2008-07-15
13,WASTE,WASTE advisers on urban environment and development,N,2008-07-15
14,FODRA,Foundation of Development Research and Action,N,2008-07-15
15,PRACTICA,PRACTICA Foundation,N,2008-07-16
16,CRS,Catholic Relief Service,N,2008-07-16
17,VSA,Voahary Salama Association,N,2008-07-16
18,FSG,FrÃ¨res de Saint Gabriel,N,2008-07-16
19,BASA,Bangladesh Association for Social Awareness,N,2008-07-16
20,PA Bangladesh,Practical Action Bangladesh,N,2008-07-16
21,Sahel SolidaritÃ©,,N,2008-07-16
22,ADEID,"Action pour un DÃ©veloppement Ã‰quitable, IntÃ©grÃ© et Durable",N,2008-07-16
25,ENPHO,ENPHO,N,2008-07-16
26,Hygiene Village Project,,N,2008-07-16
27,Simli AiD,,N,2008-07-16
28,ERHA,ERHA,N,2008-07-16
29,ESF,Electriciens Sans FrontiÃ¨res,N,2008-07-16
30,Lore Eco Club,,N,2008-07-16
31,FVC,Femei pentru o Vitorii Curat,N,2008-07-16
32,RCDA,Rural Communities Development Agency,N,2008-07-16
33,Vozrojdeny,"Regional public ecological organisation \Vozrojdenye\"" of Tatarbunary""",N,2008-07-16
34,IICD,International Institute for Communication and Development,N,2008-07-16
35,RAIN,RAIN,N,2008-07-16
36,WECF,,N,2008-07-17
37,GRET,GRET a Solidarity and International Cooperation Association,N,2008-07-17
39,CRAID,,N,2008-07-17
41,UrSU,The State University of Urgench,K,2008-07-17
41,UrSU,The State University of Urgench,K,2008-07-29
42,Akvo,Akvo Foundation,N,2008-07-17
42,Akvo,Akvo Foundation,N,2008-08-04
43,Aqua for All,Aqua for All,N,2008-07-17
43,Aqua for All,Aqua for All,N,2008-08-10
